time,open,high,low,close,volume,spread
2026.04.13 02:00:00,4721.22,4725.53,4719.27,4721.13,862,42
2026.04.13 02:03:00,4721.13,4723.51,4718.86,4720.15,818,42
2026.04.13 02:06:00,4719.95,4723.85,4719.17,4723.85,794,42
2026.04.13 02:09:00,4724.21,4725.7,4720.71,4721.27,855,42
2026.04.13 02:12:00,4721.28,4724.09,4720.99,4722.53,821,41
2026.04.13 02:15:00,4722.5,4724.33,4719.59,4720.73,598,42
2026.04.13 02:18:00,4720.98,4723.8,4719.69,4721.02,610,41
2026.04.13 02:21:00,4721.03,4721.23,4719.3,4720.17,551,42
2026.04.13 02:24:00,4720.2,4724.71,4719.83,4723.08,631,42
2026.04.13 02:27:00,4723.13,4724.04,4719.18,4719.89,640,42
2026.04.13 02:30:00,4719.88,4727.82,4719.39,4723.85,938,42
2026.04.13 02:33:00,4723.85,4725.39,4721.56,4722.38,919,42
2026.04.13 02:36:00,4722.56,4723.09,4719.71,4720.23,746,42
2026.04.13 02:39:00,4720.22,4720.28,4715.08,4719.08,884,35
2026.04.13 02:42:00,4719.08,4719.46,4715.2,4715.34,798,41
2026.04.13 02:45:00,4715.36,4718.03,4712.52,4712.74,883,41
2026.04.13 02:48:00,4712.72,4713.53,4711.11,4711.91,856,42
2026.04.13 02:51:00,4711.92,4716.0,4711.3,4715.82,645,42
2026.04.13 02:54:00,4715.81,4720.92,4715.54,4720.63,818,42
2026.04.13 02:57:00,4720.59,4721.48,4718.75,4720.34,615,42
2026.04.13 03:00:00,4720.32,4721.64,4717.06,4717.59,680,35
2026.04.13 03:03:00,4717.82,4718.87,4714.03,4714.57,620,42
2026.04.13 03:06:00,4714.55,4715.26,4712.5,4714.36,716,42
2026.04.13 03:09:00,4714.38,4715.03,4712.05,4712.49,752,42
2026.04.13 03:12:00,4712.51,4715.34,4712.44,4713.86,747,42
2026.04.13 03:15:00,4713.89,4716.66,4712.86,4716.08,758,42
2026.04.13 03:18:00,4716.08,4717.22,4713.72,4714.27,679,42
2026.04.13 03:21:00,4714.27,4716.8,4713.72,4716.54,664,41
2026.04.13 03:24:00,4716.57,4720.75,4716.28,4719.5,737,42
2026.04.13 03:27:00,4719.52,4720.93,4718.48,4718.87,792,42
2026.04.13 03:30:00,4718.9,4720.36,4718.29,4720.24,582,42
2026.04.13 03:33:00,4720.18,4721.79,4719.17,4720.45,610,42
2026.04.13 03:36:00,4720.45,4720.47,4717.37,4718.29,543,42
2026.04.13 03:39:00,4718.5,4723.64,4718.0,4723.27,576,35
2026.04.13 03:42:00,4723.32,4724.11,4721.43,4722.08,604,42
2026.04.13 03:45:00,4722.08,4722.44,4719.37,4719.57,607,42
2026.04.13 03:48:00,4719.57,4720.75,4718.7,4719.27,558,42
2026.04.13 03:51:00,4719.28,4719.89,4717.79,4718.68,459,42
2026.04.13 03:54:00,4718.55,4718.97,4717.86,4718.07,295,42
2026.04.13 03:57:00,4717.92,4720.23,4717.27,4718.07,427,42
