time,open,high,low,close,volume,spread
2026.06.11 07:20:00,4104.88,4110.14,4102.84,4107.46,1778,35
2026.06.11 07:30:00,4107.59,4110.51,4101.67,4104.66,1718,35
2026.06.11 07:40:00,4104.69,4109.36,4103.0,4103.35,1720,35
2026.06.11 07:50:00,4102.85,4106.02,4099.08,4104.85,1742,35
2026.06.11 08:00:00,4103.95,4112.14,4103.95,4111.7,1841,35
2026.06.11 08:10:00,4111.68,4112.54,4102.9,4105.66,1814,35
2026.06.11 08:20:00,4105.63,4105.63,4097.08,4097.51,1785,35
2026.06.11 08:30:00,4097.52,4099.39,4093.84,4095.27,1830,35
2026.06.11 08:40:00,4095.28,4096.84,4088.82,4089.25,1782,35
2026.06.11 08:50:00,4089.29,4091.69,4084.52,4084.52,1733,35
2026.06.11 09:00:00,4084.44,4087.37,4080.84,4080.86,1826,35
2026.06.11 09:10:00,4080.95,4088.77,4080.71,4086.53,1827,35
2026.06.11 09:20:00,4086.54,4086.54,4078.94,4079.38,1915,35
2026.06.11 09:30:00,4079.27,4088.63,4077.33,4088.6,1883,35
2026.06.11 09:40:00,4088.58,4096.24,4087.48,4093.91,1727,35
2026.06.11 09:50:00,4093.95,4095.82,4089.8,4091.52,1644,35
2026.06.11 10:00:00,4091.51,4094.29,4089.72,4090.49,1621,35
2026.06.11 10:10:00,4090.54,4093.08,4086.72,4086.76,1714,35
2026.06.11 10:20:00,4086.92,4094.45,4086.8,4087.86,1701,35
2026.06.11 10:30:00,4087.64,4092.9,4086.45,4090.78,1694,35
2026.06.11 10:40:00,4090.83,4092.16,4087.46,4088.42,1529,35
2026.06.11 10:50:00,4088.49,4092.85,4087.55,4089.78,1589,35
2026.06.11 11:00:00,4089.8,4093.09,4086.75,4091.15,1830,35
2026.06.11 11:10:00,4091.17,4093.08,4084.04,4086.68,1751,35
2026.06.11 11:20:00,4086.71,4091.16,4083.25,4090.19,1859,35
2026.06.11 11:30:00,4090.15,4095.85,4082.63,4083.47,1936,35
2026.06.11 11:40:00,4083.72,4086.93,4081.68,4084.99,1845,35
2026.06.11 11:50:00,4085.04,4087.61,4079.79,4080.25,1772,35
2026.06.11 12:00:00,4080.24,4087.11,4078.24,4079.77,1841,35
2026.06.11 12:10:00,4079.78,4081.94,4072.75,4075.15,1913,35
2026.06.11 12:20:00,4075.54,4078.2,4061.36,4068.95,2088,35
2026.06.11 12:30:00,4068.9,4073.88,4057.57,4065.89,2114,35
2026.06.11 12:40:00,4066.14,4081.03,4064.95,4077.27,2054,35
2026.06.11 12:50:00,4077.31,4085.04,4073.17,4081.78,1979,35
2026.06.11 13:00:00,4082.24,4086.11,4077.84,4085.55,2056,35
2026.06.11 13:10:00,4085.6,4085.88,4072.06,4072.9,2007,35
2026.06.11 13:20:00,4072.76,4081.8,4072.14,4075.29,1966,35
2026.06.11 13:30:00,4075.1,4082.51,4068.25,4072.5,2255,35
2026.06.11 13:40:00,4072.48,4092.48,4067.02,4083.66,2277,35
2026.06.11 13:50:00,4083.85,4092.48,4082.49,4083.15,2193,35
2026.06.11 14:00:00,4083.17,4085.26,4060.49,4062.4,2177,35
2026.06.11 14:10:00,4062.51,4066.54,4052.82,4063.56,2230,35
2026.06.11 14:20:00,4063.39,4084.56,4063.0,4074.75,2194,35
2026.06.11 14:30:00,4074.74,4079.86,4070.54,4078.82,2176,35
2026.06.11 14:40:00,4078.81,4083.47,4072.77,4078.57,2107,35
2026.06.11 14:50:00,4078.17,4080.86,4072.12,4073.35,2124,35
2026.06.11 15:00:00,4073.42,4086.38,4070.26,4080.96,2183,35
2026.06.11 15:10:00,4080.9,4087.79,4079.65,4081.98,2094,35
2026.06.11 15:20:00,4081.84,4089.21,4074.71,4081.58,2059,35
2026.06.11 15:30:00,4081.5,4086.87,4077.33,4085.93,2047,35
2026.06.11 15:40:00,4085.82,4091.64,4085.82,4089.66,2000,35
2026.06.11 15:50:00,4090.07,4095.28,4085.91,4088.9,1930,35
2026.06.11 16:00:00,4088.72,4093.65,4086.67,4092.53,1954,35
2026.06.11 16:10:00,4092.39,4107.47,4091.09,4096.83,2030,35
2026.06.11 16:20:00,4097.01,4098.36,4079.16,4079.29,2006,35
2026.06.11 16:30:00,4079.08,4087.76,4078.31,4082.54,1949,35
2026.06.11 16:40:00,4082.68,4085.18,4080.2,4081.31,1838,35
2026.06.11 16:50:00,4081.06,4082.34,4077.94,4080.15,1846,35
2026.06.11 17:00:00,4080.32,4080.68,4071.88,4076.56,1965,43
2026.06.11 17:10:00,4076.6,4078.81,4072.91,4078.25,1904,43
2026.06.11 17:20:00,4078.18,4102.28,4075.98,4101.12,1945,43
2026.06.11 17:30:00,4101.82,4154.61,4101.82,4150.38,2367,43
2026.06.11 17:40:00,4150.93,4169.86,4147.4,4153.98,2203,43
2026.06.11 17:50:00,4154.38,4161.31,4146.6,4151.66,2187,43
2026.06.11 18:00:00,4151.87,4155.47,4131.24,4135.54,1204,43
2026.06.11 18:10:00,4135.42,4162.79,4135.05,4161.04,1928,43
2026.06.11 18:20:00,4161.13,4162.27,4150.47,4152.81,2167,43
2026.06.11 18:30:00,4153.06,4158.58,4149.15,4156.38,2055,43
